IFSC Code,Bank ID,Bank Name,Regex,Bank Name
CBIN0280232,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280233,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280234,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280235,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280236,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280237,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280238,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280239,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280240,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280241,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280242,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280243,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280244,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280245,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280246,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280247,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280248,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280249,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280250,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280251,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280252,4,Central Bank of India,^CBIN001[0-9]{4}$,
